# GENERATED by hc-conformance --write-counterfactual. One line per grammar-observable
# surface a fixture contains: the verdict, the fixture, what was neutralized, the
# observed delta, and the structural counter-example fields CoverageEvidencePipeline
# joins into an Evidence record (never re-derived from delta's free text). Absent
# fields are "-".
#   Evidenced        neutralizing it changed a result
#   RequiredByLoader the mutant would not load: HermitCrab's own loader threw (an
#                    IDREF/lookup/coercion failure) after passing DTD validation --
#                    a real engine-semantic witness, though not a word-level delta
#   EvidencedJointly only a joint mutation with an independent partner changed a result;
#                    weaker than Evidenced/RequiredByLoader, see CounterfactualGate.EvaluateJointly
#   RequiredByDtd    the mutant would not load: it failed generic DTD content-model
#                    validation before HermitCrab's loader ran at all -- this only
#                    re-derives Level 1's static DTD enumeration and is NOT equally
#                    conclusive with Evidenced; there is no parse-time witness
#   Timeout          the mutant did not finish in time, which is not evidence
#   Unobservable     neutralizing it changed nothing, which is not evidence
# fixture is the first-discovered fixture reaching verdict (its run is what mutation/
# delta/example describe); witnessed_by is EVERY fixture that reached the identical
# verdict, comma-separated, ALWAYS including fixture -- a tie is not a loss, see
# CounterfactualLedger.Sweep. FoldInCandidateLedger reads this to tell 'only an edge
# case witnesses this' from 'an edge case was merely recorded first'.
surface	verdict	fixture	mutation	delta	example_word	example_outcome	counterexample_kind	counterexample_outcome	witnessed_by
dtd:element/LexicalEntry	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 1 <LexicalEntry> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'LexicalEntries' has incomplete content...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'LexicalEntries' has incomplete content...	edge-cases/alpha-variable-name-collision,edge-cases/bistratal-overlapping-segment-representation,edge-cases/compounding-breadth,edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-default-symbol,edge-cases/loader-isactive,edge-cases/loader-isactive-breadth,edge-cases/loader-pattern-shapes,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/process-morphology-in-place-mutation,edge-cases/right-to-left-anchor-environment,edge-cases/stem-name-restricted-root-allomorph,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/MetathesisRule	RequiredByDtd	edge-cases/feature-system-breadth	removed 3 <MetathesisRule> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'mtDecoy'.    at System.Xml.Xml...	ik	ok::AK|ik	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'mtDecoy'.    at System.Xml.Xml...	edge-cases/feature-system-breadth,languages/metathesis-phase-isolation
dtd:element/ModifyFromInput	Evidenced	edge-cases/process-morphology-in-place-mutation	removed 1 <ModifyFromInput> element(s)	'a': ok::AROOT|a;ROOT+ABLAUT|a -> ok::AROOT|a	a	ok::AROOT|a;ROOT+ABLAUT|a	Word	ok::AROOT|a	edge-cases/process-morphology-in-place-mutation,languages/fusional-realizational-morphology,languages/templatic-root-modification
dtd:element/MorphemeCoOccurrenceRule	RequiredByDtd	edge-cases/morphotactic-attribute-breadth	removed 2 <MorphemeCoOccurrenceRule> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'MorphemeCoOccurrenceRules' has incompl...	kul	ok::KUL|kul	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'MorphemeCoOccurrenceRules' has incompl...	edge-cases/morphotactic-attribute-breadth,languages/suffixing-evidential-adjacency-chain,languages/templatic-root-modification
dtd:element/MorphemeCoOccurrenceRules	Evidenced	languages/suffixing-evidential-adjacency-chain	removed 1 <MorphemeCoOccurrenceRules> element(s)	'walakntan': ok::- -> ok::WALAK+3SG+ASSUM|walakntan	walakntan	ok::-	Word	ok::WALAK+3SG+ASSUM|walakntan	languages/suffixing-evidential-adjacency-chain,languages/templatic-root-modification
dtd:element/MorphemeId	Evidenced	edge-cases/alpha-variable-name-collision	removed 1 <MorphemeId> element(s)	'ia': ok::AU|ia -> ok::|ia	ia	ok::AU|ia	Word	ok::|ia	edge-cases/alpha-variable-name-collision,edge-cases/bistratal-overlapping-segment-representation,edge-cases/compounding-breadth,edge-cases/diacritic-segments,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-isactive-breadth,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/process-morphology-in-place-mutation,edge-cases/right-to-left-anchor-environment,edge-cases/stem-name-restricted-root-allomorph,edge-cases/subrule-morphosyntactic-gating,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/MorphologicalInput	RequiredByDtd	edge-cases/diacritic-segments	removed 2 <MorphologicalInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'MorphologicalSubrule' has invalid chil...	año	ok::YEAR|año	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'MorphologicalSubrule' has invalid chil...	edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-isactive-breadth,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/process-morphology-in-place-mutation,edge-cases/stem-name-restricted-root-allomorph,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/MorphologicalOutput	RequiredByDtd	edge-cases/compounding-breadth	removed 4 <MorphologicalOutput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'CompoundingSubrule' has incomplete con...	ka	ok::KA|ka	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'CompoundingSubrule' has incomplete con...	edge-cases/compounding-breadth,edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-isactive-breadth,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/process-morphology-in-place-mutation,edge-cases/stem-name-restricted-root-allomorph,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/MorphologicalPhonologicalRuleFeature	RequiredByDtd	edge-cases/loader-isactive-breadth	removed 2 <MorphologicalPhonologicalRuleFeature> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'MorphologicalPhonologicalRuleFeatures'...	kul	ok::KUL|kul	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'MorphologicalPhonologicalRuleFeatures'...	edge-cases/loader-isactive-breadth,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,languages/fusional-realizational-morphology,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-extension-slot-ordering
dtd:element/MorphologicalPhonologicalRuleFeatureGroup	Evidenced	edge-cases/mpr-group-overwrite-without-realizational	removed 1 <MorphologicalPhonologicalRuleFeatureGroup> element(s)	'wudofq': ok::- -> ok::THEMEB+THEMEA+DOF+ENDC|wudofq	wudofq	ok::-	Word	ok::THEMEB+THEMEA+DOF+ENDC|wudofq	edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,languages/fusional-realizational-morphology,languages/suffixing-extension-slot-ordering
dtd:element/MorphologicalPhonologicalRuleFeatures	RequiredByDtd	edge-cases/loader-isactive-breadth	removed 1 <MorphologicalPhonologicalRuleFeatures> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'mprDecoy'.    at System.Xml.Xm...	kul	ok::KUL|kul	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'mprDecoy'.    at System.Xml.Xm...	edge-cases/loader-isactive-breadth,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,languages/fusional-realizational-morphology,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-extension-slot-ordering
dtd:element/MorphologicalRule	RequiredByDtd	edge-cases/diacritic-segments	removed 2 <MorphologicalRule> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'rDim'.    at System.Xml.XmlVal...	año	ok::YEAR|año	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'rDim'.    at System.Xml.XmlVal...	edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-isactive-breadth,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/process-morphology-in-place-mutation,edge-cases/stem-name-restricted-root-allomorph,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/MorphologicalRuleDefinitions	RequiredByDtd	edge-cases/compounding-breadth	removed 1 <MorphologicalRuleDefinitions> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'crDecoy'.    at System.Xml.Xml...	ka	ok::KA|ka	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'crDecoy'.    at System.Xml.Xml...	edge-cases/compounding-breadth,edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-isactive-breadth,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/process-morphology-in-place-mutation,edge-cases/stem-name-restricted-root-allomorph,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/MorphologicalSubrule	RequiredByDtd	edge-cases/diacritic-segments	removed 2 <MorphologicalSubrule> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'MorphologicalSubrules' has incomplete ...	año	ok::YEAR|año	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'MorphologicalSubrules' has incomplete ...	edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-isactive-breadth,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/process-morphology-in-place-mutation,edge-cases/stem-name-restricted-root-allomorph,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/MorphologicalSubrules	RequiredByDtd	edge-cases/diacritic-segments	removed 2 <MorphologicalSubrules> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'MorphologicalRule' has invalid child e...	año	ok::YEAR|año	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'MorphologicalRule' has invalid child e...	edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-isactive-breadth,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/process-morphology-in-place-mutation,edge-cases/stem-name-restricted-root-allomorph,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/Name	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 8 <Name> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Language' has invalid child element 'P...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Language' has invalid child element 'P...	edge-cases/alpha-variable-name-collision,edge-cases/bistratal-overlapping-segment-representation,edge-cases/compounding-breadth,edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-default-symbol,edge-cases/loader-isactive,edge-cases/loader-isactive-breadth,edge-cases/loader-pattern-shapes,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/process-morphology-in-place-mutation,edge-cases/right-to-left-anchor-environment,edge-cases/stem-name-restricted-root-allomorph,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/NaturalClasses	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 1 <NaturalClasses> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'ncVowel'.    at System.Xml.Xml...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'ncVowel'.    at System.Xml.Xml...	edge-cases/alpha-variable-name-collision,edge-cases/compounding-breadth,edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-default-symbol,edge-cases/loader-isactive-breadth,edge-cases/loader-pattern-shapes,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/process-morphology-in-place-mutation,edge-cases/right-to-left-anchor-environment,edge-cases/stem-name-restricted-root-allomorph,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/NonHeadMorphologicalInput	RequiredByDtd	edge-cases/compounding-breadth	removed 4 <NonHeadMorphologicalInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'CompoundingSubrule' has invalid child ...	ka	ok::KA|ka	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'CompoundingSubrule' has invalid child ...	edge-cases/compounding-breadth,languages/fusional-realizational-morphology,languages/polysynthetic-stratal-derivation-chain
dtd:element/NonHeadRequiredFootFeatures	Evidenced	edge-cases/compounding-breadth	removed 2 <NonHeadRequiredFootFeatures> element(s)	'kati': ok::- -> ok::KA+TI|kati	kati	ok::-	Word	ok::KA+TI|kati	edge-cases/compounding-breadth
dtd:element/NonHeadRequiredHeadFeatures	Evidenced	edge-cases/compounding-breadth	removed 2 <NonHeadRequiredHeadFeatures> element(s)	'kaki': ok::- -> ok::KA+KI|kaki	kaki	ok::-	Word	ok::KA+KI|kaki	edge-cases/compounding-breadth
dtd:element/OptionalSegmentSequence	Evidenced	edge-cases/compounding-breadth	removed 4 <OptionalSegmentSequence> element(s)	'katu': ok::KA+TU|katu -> ok::-	katu	ok::KA+TU|katu	Word	ok::-	edge-cases/compounding-breadth,edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-isactive-breadth,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/stem-name-restricted-root-allomorph,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/OutputFootFeatures	Evidenced	edge-cases/feature-gating-breadth	removed 2 <OutputFootFeatures> element(s)	'nalnomu': ok::NAL+LOUD+EMPH|nalnomu -> ok::-	nalnomu	ok::NAL+LOUD+EMPH|nalnomu	Word	ok::-	edge-cases/feature-gating-breadth,languages/suffixing-extension-slot-ordering
dtd:element/OutputHeadFeatures	Evidenced	edge-cases/stem-name-restricted-root-allomorph	removed 2 <OutputHeadFeatures> element(s)	'kapom': ok::ROOT+PERS1|kapom -> ok::-	kapom	ok::ROOT+PERS1|kapom	Word	ok::-	edge-cases/stem-name-restricted-root-allomorph,languages/fusional-realizational-morphology,languages/suffixing-extension-slot-ordering,languages/templatic-root-modification
dtd:element/PartOfSpeech	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 1 <PartOfSpeech> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'PartsOfSpeech' has incomplete content....	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'PartsOfSpeech' has incomplete content....	edge-cases/alpha-variable-name-collision,edge-cases/bistratal-overlapping-segment-representation,edge-cases/compounding-breadth,edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-default-symbol,edge-cases/loader-isactive,edge-cases/loader-isactive-breadth,edge-cases/loader-pattern-shapes,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/process-morphology-in-place-mutation,edge-cases/right-to-left-anchor-environment,edge-cases/stem-name-restricted-root-allomorph,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/PartsOfSpeech	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 1 <PartsOfSpeech> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Language' has invalid child element 'P...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Language' has invalid child element 'P...	edge-cases/alpha-variable-name-collision,edge-cases/bistratal-overlapping-segment-representation,edge-cases/compounding-breadth,edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-default-symbol,edge-cases/loader-isactive,edge-cases/loader-isactive-breadth,edge-cases/loader-pattern-shapes,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/process-morphology-in-place-mutation,edge-cases/right-to-left-anchor-environment,edge-cases/stem-name-restricted-root-allomorph,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/PhoneticInput	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 1 <PhoneticInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'PhonologicalRule' has invalid child el...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'PhonologicalRule' has invalid child el...	edge-cases/alpha-variable-name-collision,edge-cases/feature-system-breadth,edge-cases/loader-default-symbol,edge-cases/mpr-gated-exception,edge-cases/right-to-left-anchor-environment,edge-cases/subrule-morphosyntactic-gating,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/PhoneticOutput	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 1 <PhoneticOutput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'PhonologicalSubrule' has incomplete co...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'PhonologicalSubrule' has incomplete co...	edge-cases/alpha-variable-name-collision,edge-cases/feature-system-breadth,edge-cases/loader-default-symbol,edge-cases/mpr-gated-exception,edge-cases/right-to-left-anchor-environment,edge-cases/subrule-morphosyntactic-gating,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/PhoneticSequence	Evidenced	edge-cases/alpha-variable-name-collision	removed 2 <PhoneticSequence> element(s)	'au': ok::- -> ok::AU|au	au	ok::-	Word	ok::AU|au	edge-cases/alpha-variable-name-collision,edge-cases/loader-default-symbol
dtd:element/PhoneticShape	RequiredByDtd	edge-cases/alpha-variable-name-collision	removed 1 <PhoneticShape> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Allomorph' has incomplete content. Lis...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Allomorph' has incomplete content. Lis...	edge-cases/alpha-variable-name-collision,edge-cases/bistratal-overlapping-segment-representation,edge-cases/compounding-breadth,edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-gating-breadth,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/loader-default-symbol,edge-cases/loader-isactive,edge-cases/loader-isactive-breadth,edge-cases/loader-pattern-shapes,edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception,edge-cases/mpr-group-overwrite-without-realizational,edge-cases/mpr-overwrite-order-dependence,edge-cases/process-morphology-in-place-mutation,edge-cases/right-to-left-anchor-environment,edge-cases/stem-name-restricted-root-allomorph,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,edge-cases/truncate-morphotactic,languages/fusional-realizational-morphology,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/prefixal-discontinuous-slot-dependency,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
dtd:element/PhoneticTemplate	RequiredByDtd	edge-cases/diacritic-segments	removed 1 <PhoneticTemplate> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'LeftEnvironment' has incomplete conten...	año	ok::YEAR|año	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'LeftEnvironment' has incomplete conten...	edge-cases/diacritic-segments,edge-cases/disjunctive-recheck,edge-cases/feature-system-breadth,edge-cases/free-fluctuating-allomorph-pair,edge-cases/mpr-gated-exception,edge-cases/right-to-left-anchor-environment,edge-cases/strrep-identity,edge-cases/subrule-morphosyntactic-gating,languages/metathesis-phase-isolation,languages/polysynthetic-stratal-derivation-chain,languages/suffixing-evidential-adjacency-chain,languages/suffixing-extension-slot-ordering,languages/suffixing-vowel-harmony,languages/templatic-root-modification
