# GENERATED by hc-conformance --write-coverage-traceability. One row per words.yaml
# 'exercises:' claim (self-reported by the fixture author), cross-checked against that
# fixture's OWN grammar.xml. This is a STRUCTURAL check, not a semantic one: Confirmed means
# the construct text names a DTD element/attribute this grammar actually contains, never that
# the word's parse depends on it. Contradicted means identifiers were found in the construct's
# text but none appear in this grammar -- the claim looks wrong. Unmapped means the construct's
# text contains no identifier ConstructClaimCorroboration recognizes, so it cannot be checked
# either way. matched_tokens is empty for Unmapped. signature is "-" for expect_fail/expect_skip words.
fixture	word	signature	construct	status	matched_tokens
edge-cases/strrep-identity	ndpat	++|nd+?[(^0)∅]?+?pat	NaturalClass: Segments vs FeatureNaturalClass/SegmentNaturalClass precision	Confirmed	FeatureNaturalClass,SegmentNaturalClass,Segments,naturalClass
edge-cases/strrep-identity	ndpat	+|nd+?pat	NaturalClass: Segments vs FeatureNaturalClass/SegmentNaturalClass precision	Confirmed	FeatureNaturalClass,SegmentNaturalClass,Segments,naturalClass
edge-cases/strrep-identity	pat	+|[(^0)∅]?+?pat	NaturalClass: Segments vs FeatureNaturalClass/SegmentNaturalClass precision	Confirmed	FeatureNaturalClass,SegmentNaturalClass,Segments,naturalClass
edge-cases/strrep-identity	pat	|pat	NaturalClass: Segments vs FeatureNaturalClass/SegmentNaturalClass precision	Confirmed	FeatureNaturalClass,SegmentNaturalClass,Segments,naturalClass
edge-cases/subrule-morphosyntactic-gating	bat	ROOT1+DERIVE|bat	RewriteSubruleDef gating: required/excluded POS or MPR at the subrule level	Unmapped	-
edge-cases/subrule-morphosyntactic-gating	pat	ROOT1|pat	RewriteSubruleDef gating: required/excluded POS or MPR at the subrule level	Unmapped	-
edge-cases/truncate-morphotactic	ag	+|ag	AffixProcessRule: subtraction/truncation	Unmapped	-
edge-cases/truncate-morphotactic	as	+|as	AffixProcessRule: subtraction/truncation	Unmapped	-
edge-cases/truncate-morphotactic	bag	-	AffixProcessRule: subtraction/truncation	Unmapped	-
edge-cases/truncate-morphotactic	bubibi	|bubibi	AffixProcessRule: subtraction/truncation	Unmapped	-
edge-cases/truncate-morphotactic	gas	++|gas	AffixProcessRule: subtraction/truncation	Unmapped	-
edge-cases/truncate-morphotactic	gas	+|gas	AffixProcessRule: subtraction/truncation	Unmapped	-
edge-cases/truncate-morphotactic	gbubibi	+|gbubibi	AffixProcessRule: subtraction/truncation	Unmapped	-
edge-cases/truncate-morphotactic	sa	+|sa	AffixProcessRule: subtraction/truncation	Unmapped	-
edge-cases/truncate-morphotactic	sag	|sag	AffixProcessRule: subtraction/truncation	Unmapped	-
edge-cases/truncate-morphotactic	sas	|sas	AffixProcessRule: subtraction/truncation	Unmapped	-
languages/fusional-realizational-morphology	benox	BEPFX1+NOXV|benox	AffixProcessRule: prefix/suffix/circumfix/infix	Unmapped	-
languages/fusional-realizational-morphology	corriv	BLOCKHEAD+BLOCKNON|cor+?riv	CompoundingRule constraints (MaxApplicationCount/Blockable/head-nonhead syntactic features)	Confirmed	CompoundingRule
languages/fusional-realizational-morphology	ducit	-	RealizationalAffixProcessRule	Unmapped	-
languages/fusional-realizational-morphology	ducunt	DUC+PL2|ducunt	RealizationalAffixProcessRule	Unmapped	-
languages/fusional-realizational-morphology	feres	FER+TENSE|feres	RealizationalAffixProcessRule	Unmapped	-
languages/fusional-realizational-morphology	feresid	-	RealizationalAffixProcessRule	Unmapped	-
languages/fusional-realizational-morphology	ferid	FER+RPAST|ferid	RealizationalAffixProcessRule	Unmapped	-
languages/fusional-realizational-morphology	ficlav	FIC+LAV|fic+?lav	CompoundingRule constraints (MaxApplicationCount/Blockable/head-nonhead syntactic features)	Confirmed	CompoundingRule
languages/fusional-realizational-morphology	gelobt	GET+LOB|gelobt	AffixProcessRule: prefix/suffix/circumfix/infix	Unmapped	-
languages/fusional-realizational-morphology	gelobth	GET+LOB+S3|gelobth	AffixProcessRule: prefix/suffix/circumfix/infix	Unmapped	-
languages/fusional-realizational-morphology	gelobthh	-	AffixProcessRule: prefix/suffix/circumfix/infix	Unmapped	-
languages/fusional-realizational-morphology	genlav	-	CompoundingRule constraints (MaxApplicationCount/Blockable/head-nonhead syntactic features)	Confirmed	CompoundingRule
languages/fusional-realizational-morphology	gofhw	-	MPR features/groups	Unmapped	-
languages/fusional-realizational-morphology	gofwh	GOF+ENDW+ENDH|gofwh	MPR features/groups	Unmapped	-
languages/fusional-realizational-morphology	gofwz	-	MPR features/groups	Unmapped	-
languages/fusional-realizational-morphology	gofz	GOF+ENDZ|gofz	MPR features/groups	Unmapped	-
languages/fusional-realizational-morphology	gofzw	GOF+ENDZ+ENDW|gofzw	MPR features/groups	Unmapped	-
languages/fusional-realizational-morphology	kath	-	MPR features/groups	Unmapped	-
languages/fusional-realizational-morphology	katw	KAT+ENDW|katw	MPR features/groups	Unmapped	-
languages/fusional-realizational-morphology	lexbedom	LEX+BEPFX2+DOMV|lex+?bedom	CompoundingRule	Confirmed	CompoundingRule
languages/fusional-realizational-morphology	lexbex	-	CompoundingRule	Confirmed	CompoundingRule
languages/fusional-realizational-morphology	lexdom	LEX+DOMN|lex+?dom	CompoundingRule	Confirmed	CompoundingRule
languages/fusional-realizational-morphology	lexdom	LEX+DOMV|lex+?dom	CompoundingRule	Confirmed	CompoundingRule
languages/fusional-realizational-morphology	limh	-	MPR features/groups	Unmapped	-
languages/fusional-realizational-morphology	limw	-	MPR features/groups	Unmapped	-
languages/fusional-realizational-morphology	lobh	LOB+S3|lobh	AffixProcessRule: prefix/suffix/circumfix/infix	Unmapped	-
languages/fusional-realizational-morphology	man	-	Stem names	Unmapped	-
languages/fusional-realizational-morphology	mano	STEM+P1|mano	Stem names	Unmapped	-
languages/fusional-realizational-morphology	mans	STEM+P2|mans	Stem names	Unmapped	-
languages/fusional-realizational-morphology	mant	-	Stem names	Unmapped	-
languages/fusional-realizational-morphology	min	-	Stem names	Unmapped	-
languages/fusional-realizational-morphology	mino	STEM+P1|mino	Stem names	Unmapped	-
languages/fusional-realizational-morphology	mins	-	Stem names	Unmapped	-
languages/fusional-realizational-morphology	mint	STEM+P3|mint	Stem names	Unmapped	-
languages/fusional-realizational-morphology	mitlav	MIT+LAV|mit+?lav	CompoundingRule constraints (MaxApplicationCount/Blockable/head-nonhead syntactic features)	Confirmed	CompoundingRule
languages/fusional-realizational-morphology	mitlavlav	-	CompoundingRule constraints (MaxApplicationCount/Blockable/head-nonhead syntactic features)	Confirmed	CompoundingRule
languages/fusional-realizational-morphology	mun	STEM|mun	Stem names	Unmapped	-
languages/fusional-realizational-morphology	muno	-	Stem names	Unmapped	-
languages/fusional-realizational-morphology	muns	-	Stem names	Unmapped	-
languages/fusional-realizational-morphology	munt	-	Stem names	Unmapped	-
languages/fusional-realizational-morphology	panbenox	-	CompoundingRule	Confirmed	CompoundingRule
languages/fusional-realizational-morphology	pandex	-	CompoundingRule	Confirmed	CompoundingRule
languages/fusional-realizational-morphology	pannox	PAN+NOXN|pan+?nox	CompoundingRule	Confirmed	CompoundingRule
languages/fusional-realizational-morphology	pannox	PAN+NOXV|pan+?nox	CompoundingRule	Confirmed	CompoundingRule
languages/fusional-realizational-morphology	sang	SING+ABLAUT|sang	MorphologicalOutputAction: ModifyFromInput/InsertSimpleContext	Confirmed	InsertSimpleContext,ModifyFromInput
languages/fusional-realizational-morphology	seclav	-	CompoundingRule constraints (MaxApplicationCount/Blockable/head-nonhead syntactic features)	Confirmed	CompoundingRule
languages/fusional-realizational-morphology	sodh	SOD+ENDH|sodh	MPR features/groups	Unmapped	-
languages/fusional-realizational-morphology	sodw	-	MPR features/groups	Unmapped	-
languages/fusional-realizational-morphology	tul	TUL|tul	RealizationalAffixProcessRule	Unmapped	-
languages/fusional-realizational-morphology	vinc	VIC+PRESSTEM|vinc	AffixProcessRule: prefix/suffix/circumfix/infix	Unmapped	-
languages/fusional-realizational-morphology	xped	THEMEX+PED|xped	MPR features/groups	Unmapped	-
languages/fusional-realizational-morphology	xpedz	THEMEX+PED+ENDZ|xpedz	MPR features/groups	Unmapped	-
languages/fusional-realizational-morphology	ygofz	-	MPR features/groups	Unmapped	-
languages/fusional-realizational-morphology	yxped	THEMEY+THEMEX+PED|yxped	MPR features/groups	Unmapped	-
languages/fusional-realizational-morphology	yxpedz	-	MPR features/groups	Unmapped	-
languages/metathesis-phase-isolation	bahain	BAHA+LNK|bahain	AffixProcessRule: prefix/suffix/circumfix/infix	Unmapped	-
languages/metathesis-phase-isolation	bahain	BAHA+LNK|bahain	MorphologicalOutputAction: CopyFromInput/InsertSegments	Confirmed	CopyFromInput,InsertSegments
languages/metathesis-phase-isolation	idil	-	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/metathesis-phase-isolation	katabɯd	-	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/metathesis-phase-isolation	katibɯd	KTB+PERF|katibɯd	AffixProcessRule: prefix/suffix/circumfix/infix	Unmapped	-
languages/metathesis-phase-isolation	katibɯd	KTB+PERF|katibɯd	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/metathesis-phase-isolation	keadilan	NMLZ+ADIL|keadilan	AffixProcessRule: prefix/suffix/circumfix/infix	Unmapped	-
languages/metathesis-phase-isolation	keadilan	NMLZ+ADIL|keadilan	MorphologicalOutputAction: CopyFromInput/InsertSegments	Confirmed	CopyFromInput,InsertSegments
languages/metathesis-phase-isolation	mu+i	MI+3SGU|mu+?i	Boundary markers (CharacterDefinitionTable)	Confirmed	CharacterDefinitionTable,characterDefinitionTable
languages/metathesis-phase-isolation	mu+i	MI+3SGU|mu+?i	MetathesisRule	Confirmed	MetathesisRule
languages/metathesis-phase-isolation	niu	-	MetathesisRule	Confirmed	MetathesisRule
languages/metathesis-phase-isolation	nui	NIU|nui	MetathesisRule	Confirmed	MetathesisRule
languages/metathesis-phase-isolation	pui	PU+3SGI|pui	AffixProcessRule: prefix/suffix/circumfix/infix	Unmapped	-
languages/metathesis-phase-isolation	pur	PURE+INCP|pur	AffixProcessRule: subtraction/truncation	Unmapped	-
languages/metathesis-phase-isolation	sumulat	SULAT+AV|sumulat	AffixProcessRule: prefix/suffix/circumfix/infix	Unmapped	-
languages/metathesis-phase-isolation	sumulat	SULAT+AV|sumulat	MorphologicalOutputAction: CopyFromInput/InsertSegments	Confirmed	CopyFromInput,InsertSegments
languages/metathesis-phase-isolation	tulatula	RDPL+TULA|tulatula	AffixProcessRule: reduplication (ReduplicationHint)	Unmapped	-
languages/metathesis-phase-isolation	tutula	RDP+TULA|tutula	AffixProcessRule: reduplication (ReduplicationHint)	Unmapped	-
languages/polysynthetic-stratal-derivation-chain	akupitat	-	CompoundingRule	Confirmed	CompoundingRule
languages/polysynthetic-stratal-derivation-chain	akutas	-	CompoundingRule	Confirmed	CompoundingRule
languages/polysynthetic-stratal-derivation-chain	akutat	AKU+TATN|aku+?tat	Boundary markers (CharacterDefinitionTable)	Confirmed	CharacterDefinitionTable,characterDefinitionTable
languages/polysynthetic-stratal-derivation-chain	akutat	AKU+TATN|aku+?tat	CompoundingRule	Confirmed	CompoundingRule
languages/polysynthetic-stratal-derivation-chain	akutat	AKU+TATV|aku+?tat	Boundary markers (CharacterDefinitionTable)	Confirmed	CharacterDefinitionTable,characterDefinitionTable
languages/polysynthetic-stratal-derivation-chain	akutat	AKU+TATV|aku+?tat	CompoundingRule	Confirmed	CompoundingRule
languages/polysynthetic-stratal-derivation-chain	bubu	DR1|bubu	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/polysynthetic-stratal-derivation-chain	bubu	DR2|bubu	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/polysynthetic-stratal-derivation-chain	bubu	DR3|bubu	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/polysynthetic-stratal-derivation-chain	buibu	-	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/polysynthetic-stratal-derivation-chain	buiibuii	-	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/polysynthetic-stratal-derivation-chain	buuubuuu	MDC|buuubuuu	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/polysynthetic-stratal-derivation-chain	kuiikuii	-	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/polysynthetic-stratal-derivation-chain	kuuukuuu	MS|kuuukuuu	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/polysynthetic-stratal-derivation-chain	matu	-	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/polysynthetic-stratal-derivation-chain	mau	MDC2|mau	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/polysynthetic-stratal-derivation-chain	nunaliq	NUNA+DERIV|nunaliq	AffixProcessRule: prefix/suffix/circumfix/infix	Unmapped	-
languages/polysynthetic-stratal-derivation-chain	nunaliqvuq	NUNA+DERIV+INFL|nunaliqvuq	AffixProcessRule: prefix/suffix/circumfix/infix	Unmapped	-
languages/polysynthetic-stratal-derivation-chain	nunaliqvuq	NUNA+DERIV+INFL|nunaliqvuq	Stratum (Linear/Unordered rule order)	Confirmed	Stratum
languages/polysynthetic-stratal-derivation-chain	nunavuq	-	Stratum (Linear/Unordered rule order)	Confirmed	Stratum
languages/polysynthetic-stratal-derivation-chain	pitat	PIPFX1+TATV|pitat	AffixProcessRule: prefix/suffix/circumfix/infix	Unmapped	-
languages/polysynthetic-stratal-derivation-chain	silaaku	-	CompoundingRule	Confirmed	CompoundingRule
languages/polysynthetic-stratal-derivation-chain	silamak	-	CompoundingRule	Confirmed	CompoundingRule
languages/polysynthetic-stratal-derivation-chain	silamanuk	SILA+MAPFX2+NUKV|sila+?manuk	CompoundingRule	Confirmed	CompoundingRule
languages/polysynthetic-stratal-derivation-chain	silanuk	SILA+NUKN|sila+?nuk	Boundary markers (CharacterDefinitionTable)	Confirmed	CharacterDefinitionTable,characterDefinitionTable
languages/polysynthetic-stratal-derivation-chain	silanuk	SILA+NUKN|sila+?nuk	CompoundingRule	Confirmed	CompoundingRule
languages/polysynthetic-stratal-derivation-chain	silanuk	SILA+NUKV|sila+?nuk	Boundary markers (CharacterDefinitionTable)	Confirmed	CharacterDefinitionTable,characterDefinitionTable
languages/polysynthetic-stratal-derivation-chain	silanuk	SILA+NUKV|sila+?nuk	CompoundingRule	Confirmed	CompoundingRule
languages/polysynthetic-stratal-derivation-chain	takuvuq	taku+INFL|takuvuq	Guesser/LexicalGuess	Unmapped	-
languages/polysynthetic-stratal-derivation-chain	takuvuq	taku+INFL|takuvuq	Guesser/LexicalGuess	Unmapped	-
languages/polysynthetic-stratal-derivation-chain	takuvuq	takuvuq|takuvuq	Guesser/LexicalGuess	Unmapped	-
languages/polysynthetic-stratal-derivation-chain	takuvuq	takuvuq|takuvuq	Guesser/LexicalGuess	Unmapped	-
languages/polysynthetic-stratal-derivation-chain	utui	-	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/polysynthetic-stratal-derivation-chain	uui	MDC3|uui	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/polysynthetic-stratal-derivation-chain	uuu	-	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/prefixal-discontinuous-slot-dependency	bishiwodkal	-	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/prefixal-discontinuous-slot-dependency	bishiyidkal	OBJ+SBJ+PRF+CLF+KAL|bishiyidkal	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/prefixal-discontinuous-slot-dependency	gabishiyidkal	ADVA+OBJ+SBJ+PRF+CLF+KAL|gabishiyidkal	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/prefixal-discontinuous-slot-dependency	gahobishiyidkal	-	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/prefixal-discontinuous-slot-dependency	hogabishiyidkal	ADVB+ADVA+OBJ+SBJ+PRF+CLF+KAL|hogabishiyidkal	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/prefixal-discontinuous-slot-dependency	kal	-	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/prefixal-discontinuous-slot-dependency	niyidtan	SBJ+PRF+CLF+TAN|niyidtan	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/prefixal-discontinuous-slot-dependency	shiwodkal	SBJ+IMPF+CLF+KAL|shiwodkal	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/prefixal-discontinuous-slot-dependency	shiyidkal	SBJ+PRF+CLF+KAL|shiyidkal	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/prefixal-discontinuous-slot-dependency	yidkal	-	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/suffixing-evidential-adjacency-chain	kantancha	-	MorphemeCoOccurrenceRule/AllomorphCoOccurrenceRule	Confirmed	AllomorphCoOccurrenceRule,MorphemeCoOccurrenceRule
languages/suffixing-evidential-adjacency-chain	kantay	SING+1SG|kantay	MorphemeCoOccurrenceRule/AllomorphCoOccurrenceRule	Confirmed	AllomorphCoOccurrenceRule,MorphemeCoOccurrenceRule
languages/suffixing-evidential-adjacency-chain	sipulupachikmi	-	MorphemeCoOccurrenceRule/AllomorphCoOccurrenceRule	Confirmed	AllomorphCoOccurrenceRule,MorphemeCoOccurrenceRule
languages/suffixing-evidential-adjacency-chain	sipulupami	SIPU+2PL+DIR|sipulupami	MorphemeCoOccurrenceRule/AllomorphCoOccurrenceRule	Confirmed	AllomorphCoOccurrenceRule,MorphemeCoOccurrenceRule
languages/suffixing-evidential-adjacency-chain	sipun	SIPU+3SG|sipun	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/suffixing-evidential-adjacency-chain	sipuncha	SIPU+3SG+CONJ|sipun(ch)a	MorphemeCoOccurrenceRule/AllomorphCoOccurrenceRule	Confirmed	AllomorphCoOccurrenceRule,MorphemeCoOccurrenceRule
languages/suffixing-evidential-adjacency-chain	siputuku	-	MorphemeCoOccurrenceRule/AllomorphCoOccurrenceRule	Confirmed	AllomorphCoOccurrenceRule,MorphemeCoOccurrenceRule
languages/suffixing-evidential-adjacency-chain	siputukuchikmi	SIPU+1PL.INCL+PL+DIR|siputuku(ch)ikmi	MorphemeCoOccurrenceRule/AllomorphCoOccurrenceRule	Confirmed	AllomorphCoOccurrenceRule,MorphemeCoOccurrenceRule
languages/suffixing-evidential-adjacency-chain	siputukumi	SIPU+1PL.INCL+DIR|siputukumi	MorphemeCoOccurrenceRule/AllomorphCoOccurrenceRule	Confirmed	AllomorphCoOccurrenceRule,MorphemeCoOccurrenceRule
languages/suffixing-evidential-adjacency-chain	sipuy	SIPU+1SG|sipuy	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/suffixing-evidential-adjacency-chain	sipuymi	SIPU+1SG+DIR|sipuymi	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/suffixing-evidential-adjacency-chain	takincha	SING+3SG+CONJ|takin(ch)a	MorphemeCoOccurrenceRule/AllomorphCoOccurrenceRule	Confirmed	AllomorphCoOccurrenceRule,MorphemeCoOccurrenceRule
languages/suffixing-evidential-adjacency-chain	takiy	SING+1SG|takiy	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/suffixing-evidential-adjacency-chain	tupay	TUPA+1SG|tupay	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/suffixing-evidential-adjacency-chain	tupay	TUPA2+1SG|tupay	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/suffixing-evidential-adjacency-chain	walakchik	-	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/suffixing-evidential-adjacency-chain	walakni	WALAK+1SG|walakni	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/suffixing-evidential-adjacency-chain	walaknichik	WALAK+1SG+PL|walakni(ch)ik	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/suffixing-evidential-adjacency-chain	walaknichiktan	WALAK+1SG+PL+ASSUM|walakni(ch)iktan	MorphemeCoOccurrenceRule/AllomorphCoOccurrenceRule	Confirmed	AllomorphCoOccurrenceRule,MorphemeCoOccurrenceRule
languages/suffixing-evidential-adjacency-chain	walaknichikwas	-	MorphemeCoOccurrenceRule/AllomorphCoOccurrenceRule	Confirmed	AllomorphCoOccurrenceRule,MorphemeCoOccurrenceRule
languages/suffixing-evidential-adjacency-chain	walaknitan	WALAK+1SG+ASSUM|walaknitan	MorphemeCoOccurrenceRule/AllomorphCoOccurrenceRule	Confirmed	AllomorphCoOccurrenceRule,MorphemeCoOccurrenceRule
languages/suffixing-evidential-adjacency-chain	walakniwas	WALAK+1SG+MIR|walakniwas	MorphemeCoOccurrenceRule/AllomorphCoOccurrenceRule	Confirmed	AllomorphCoOccurrenceRule,MorphemeCoOccurrenceRule
languages/suffixing-evidential-adjacency-chain	walaknki	WALAK+2SG|walaknki	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/suffixing-evidential-adjacency-chain	walaknkicha	-	MorphemeCoOccurrenceRule/AllomorphCoOccurrenceRule	Confirmed	AllomorphCoOccurrenceRule,MorphemeCoOccurrenceRule
languages/suffixing-evidential-adjacency-chain	walaknkichikmi	WALAK+2SG+PL+DIR|walaknki(ch)ikmi	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/suffixing-evidential-adjacency-chain	walaknkishi	WALAK+2SG+REP|walaknki(sh)i	Disjunctive allomorphs / free-fluctuation	Unmapped	-
languages/suffixing-evidential-adjacency-chain	walaknkisi	WALAK+2SG+REP|walaknkisi	Disjunctive allomorphs / free-fluctuation	Unmapped	-
languages/suffixing-evidential-adjacency-chain	walakntan	-	MorphemeCoOccurrenceRule/AllomorphCoOccurrenceRule	Confirmed	AllomorphCoOccurrenceRule,MorphemeCoOccurrenceRule
languages/suffixing-evidential-adjacency-chain	walaky	-	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/suffixing-extension-slot-ordering	andik	-	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/suffixing-extension-slot-ordering	andika	AND+FV|andika	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/suffixing-extension-slot-ordering	andikila	AND+APPL+FV|andikila	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/suffixing-extension-slot-ordering	andikilisha	AND+APPL+CAUS+FV|andikilisha	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/suffixing-extension-slot-ordering	andikisha	AND+CAUS+FV|andikisha	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/suffixing-extension-slot-ordering	andikishila	AND+CAUS+APPL+FV|andikishila	Affix template slots (obligatory/disjunctive/ordering)	Unmapped	-
languages/suffixing-extension-slot-ordering	belh	BEL+ENDH|belh	MPR features/groups	Unmapped	-
languages/suffixing-extension-slot-ordering	belw	-	MPR features/groups	Unmapped	-
languages/suffixing-extension-slot-ordering	dabep	DAB+NUMPL|dabep	Syntactic feature agreement (RequiredHeadFeatures/OutputHeadFeatures/RequiredFootFeatures/OutputFootFeatures)	Confirmed	OutputFootFeatures,OutputHeadFeatures,RequiredFootFeatures,RequiredHeadFeatures
languages/suffixing-extension-slot-ordering	dabepez	DAB+NUMPL+AGR|dabepez	Syntactic feature agreement (RequiredHeadFeatures/OutputHeadFeatures/RequiredFootFeatures/OutputFootFeatures)	Confirmed	OutputFootFeatures,OutputHeadFeatures,RequiredFootFeatures,RequiredHeadFeatures
languages/suffixing-extension-slot-ordering	dabez	DAB+AGR|dabez	Syntactic feature agreement (RequiredHeadFeatures/OutputHeadFeatures/RequiredFootFeatures/OutputFootFeatures)	Confirmed	OutputFootFeatures,OutputHeadFeatures,RequiredFootFeatures,RequiredHeadFeatures
languages/suffixing-extension-slot-ordering	daheh	-	Ordinary/realizational rule constraints (MaxApplicationCount/RequiredStemName/Blockable)	Confirmed	requiredStemName
languages/suffixing-extension-slot-ordering	daleh	DAL+STEMREQ|daleh	Ordinary/realizational rule constraints (MaxApplicationCount/RequiredStemName/Blockable)	Confirmed	requiredStemName
languages/suffixing-extension-slot-ordering	dalehiz	-	Ordinary/realizational rule constraints (MaxApplicationCount/RequiredStemName/Blockable)	Confirmed	requiredStemName
languages/suffixing-extension-slot-ordering	dalizeh	DAL+RECURSUF+STEMREQ|dalizeh	Ordinary/realizational rule constraints (MaxApplicationCount/RequiredStemName/Blockable)	Confirmed	requiredStemName
languages/suffixing-extension-slot-ordering	kes	KES|kes	Syntactic feature agreement (RequiredHeadFeatures/OutputHeadFeatures/RequiredFootFeatures/OutputFootFeatures)	Confirmed	OutputFootFeatures,OutputHeadFeatures,RequiredFootFeatures,RequiredHeadFeatures
languages/suffixing-extension-slot-ordering	kesepez	KES+NUMPL+AGR|kesepez	Syntactic feature agreement (RequiredHeadFeatures/OutputHeadFeatures/RequiredFootFeatures/OutputFootFeatures)	Confirmed	OutputFootFeatures,OutputHeadFeatures,RequiredFootFeatures,RequiredHeadFeatures
languages/suffixing-extension-slot-ordering	kesez	-	Syntactic feature agreement (RequiredHeadFeatures/OutputHeadFeatures/RequiredFootFeatures/OutputFootFeatures)	Confirmed	OutputFootFeatures,OutputHeadFeatures,RequiredFootFeatures,RequiredHeadFeatures
languages/suffixing-extension-slot-ordering	kibh	-	MPR features/groups	Unmapped	-
languages/suffixing-extension-slot-ordering	kibw	KIB+ENDW|kibw	MPR features/groups	Unmapped	-
languages/suffixing-extension-slot-ordering	kimbiakimbia	KIMB+RED|kimbiakimbia	AffixProcessRule: reduplication (ReduplicationHint)	Unmapped	-
languages/suffixing-extension-slot-ordering	limaile	LIM+RPAST|limaile	RealizationalAffixProcessRule	Unmapped	-
languages/suffixing-extension-slot-ordering	limape	LIM+TENSE|limape	RealizationalAffixProcessRule	Unmapped	-
languages/suffixing-extension-slot-ordering	limapeile	-	RealizationalAffixProcessRule	Unmapped	-
languages/suffixing-extension-slot-ordering	lisez	PHXROOT+PHXSRC|lisez	MPR features/groups	Unmapped	-
languages/suffixing-extension-slot-ordering	mba	PAV|mba	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/suffixing-extension-slot-ordering	mbe	-	MPR features/groups	Unmapped	-
languages/suffixing-extension-slot-ordering	mpa	-	RewriteRule Iterative (epenthesis/deletion/feature/expansion/merge)	Unmapped	-
languages/suffixing-extension-slot-ordering	nalh	-	MPR features/groups	Unmapped	-
languages/suffixing-extension-slot-ordering	nalw	-	MPR features/groups	Unmapped	-
languages/suffixing-extension-slot-ordering	nba	PPO|nba	RewriteSubruleDef gating: required/excluded POS or MPR at the subrule level	Unmapped	-
languages/suffixing-extension-slot-ordering	nbael	-	MPR features/groups	Unmapped	-
languages/suffixing-extension-slot-ordering	npa	-	RewriteSubruleDef gating: required/excluded POS or MPR at the subrule level	Unmapped	-
languages/suffixing-extension-slot-ordering	npael	PPO+PHDESTROY|npael	MPR features/groups	Unmapped	-
languages/suffixing-extension-slot-ordering	sekhw	-	MPR features/groups	Unmapped	-
languages/suffixing-extension-slot-ordering	sekwh	SEK+ENDW+ENDH|sekwh	MPR features/groups	Unmapped	-
languages/suffixing-extension-slot-ordering	sekwz	-	MPR features/groups	Unmapped	-
languages/suffixing-extension-slot-ordering	sekzw	SEK+ENDZ+ENDW|sekzw	MPR features/groups	Unmapped	-
